	HLA-HD	SOAP-HLA	xHLA	hla-genotyper	Kourami	HLA-VBSeq
DQB1:06:04(623)	0.012841091492776886	0.04173354735152488	0.0032102728731942215	0.04333868378812199	0.019261637239165328	0.6211878009630819
DRB1:01:01(1527)	0.010478061558611657	0.03470857891290111	0.0019646365422396855	0.012442698100851343	0.0045841519318926	0.5514079895219385
DRB1:03:01(2124)	0.011770244821092278	0.1388888888888889	0.006120527306967985	0.00800376647834275	0.01977401129943503	0.7297551789077212
DRB1:04:01(1392)	0.0035919540229885057	0.06752873563218391	0.0014367816091954023	0.007183908045977011	0.007183908045977011	0.22341954022988506
DRB1:04:02(218)	0.009174311926605505	0.03669724770642202	0	0.01834862385321101	0	0.9541284403669725
DRB1:04:04(635)	0.014173228346456693	0.023622047244094488	0.007874015748031496	0.04409448818897638	0.0031496062992125984	0.9716535433070866
DRB1:04:07(227)	0.004405286343612335	0.14096916299559473	0.00881057268722467	0.11894273127753303	0.00881057268722467	0.9030837004405287
DRB1:07:01(2570)	0.007392996108949416	0.1614785992217899	0.004280155642023347	0.0490272373540856	0.021011673151750974	0.9007782101167315
DRB1:08:01(422)	0.1966824644549763	0.5497630331753555	0	0.07345971563981042	0.002369668246445498	0.8578199052132701
DRB1:09:01(401)	0	0.03740648379052369	0.0024937655860349127	0.9301745635910225	0.0024937655860349127	0.885286783042394
DRB1:10:01(274)	0.0036496350364963502	0.23357664233576642	0.0036496350364963502	0.8138686131386861	0	0.3686131386861314
DRB1:11:01(1291)	0.004647560030983733	0.6204492641363284	0.010844306738962044	0.041828040278853604	0.005422153369481022	0.29434546862896976
DRB1:11:04(656)	0.006097560975609756	0.2942073170731707	0.013719512195121951	0.25	0.007621951219512195	0.8064024390243902
DRB1:12:01(398)	0.017587939698492462	0.2185929648241206	0.020100502512562814	0.13819095477386933	0.07788944723618091	0.6909547738693468
DRB1:13:01(1211)	0.01568951279933939	0.17671345995045418	0.014037985136251032	0.006606110652353427	0.00990916597853014	0.8199834847233691
DRB1:13:02(874)	0.004576659038901602	0.30320366132723114	0.004576659038901602	0.16018306636155608	0.011441647597254004	0.8844393592677345
DRB1:13:03(278)	0	0.9856115107913669	0.007194244604316547	0.02158273381294964	0.007194244604316547	0.5971223021582733
DRB1:14:54(493)	0	0.014198782961460446	0.004056795131845842	0.9148073022312373	0.8620689655172413	0.8133874239350912
DRB1:15:01(2274)	0.05013192612137203	0.010993843447669306	0.006596306068601583	0.001759014951627089	0.032541776605101144	0.6090589270008795
DRB1:15:02(319)	0.006269592476489028	0.04075235109717868	0.02821316614420063	0.03134796238244514	0.03761755485893417	0.8495297805642633
DRB1:16:01(360)	0.6583333333333333	0.1111111111111111	0.008333333333333333	0.20833333333333334	0.002777777777777778	0.6666666666666666
